"Duration (in seconds)","Finished","RecordedDate","ExternalReference","UserLanguage","Q5","Q6","Q1","Q7","Q8","Q9","Q27","Q10","Q24","Q23","Q24_1","Q19_1","Q19_2","Q19_3","Q19_4","Q19_5","Q19_6","Q19_7","Q19_8","Q21_1","Q21_2","Q21_3","Q21_4","Q21_5","Q21_6","Q21_7","Q21_8","Q22_1","Q22_2","Q22_3","Q22_4","Q29_1","Q29_2","Q29_3","Q29_4","Q31_1","Q31_2","Q31_3","Q31_4","Q31_5","Q31_6","Q32_1","Q32_2","Q32_3","Q32_4","Q32_5","Q32_6","source","RandomID","Q40 - Parent Topics","Q40 - Topics"
"Duration (in seconds)","Finished","Recorded Date","External Data Reference","User Language","What state are you located in?","What city/region/district are you located in?","How many individuals do you share a household with?","How old are you?","What gender do you most identify with?","How many individuals over the age of 60 reside in your household?","Are you employed?","If you you are employed, what is your occupation?","Does anyone in your household have a long-term or chronic medical condition, illness or disease (e.g., diabetes, heart conditions, blood pressure, cholesterol)?","If you know that individuals are following proper social distancing guidelines in their daily lives, how many guests will you invite to your home on a weekly basis?","If your know that individuals are unable to follow proper social distancing guidelines in their daily lives, how many guests will you invite to your home on a weekly basis?","Under sufficient social distancing at ½ capacity how frequently would you use the following facilities each week? - Public place of worship (e.g., temple, mosque, church)","Under sufficient social distancing at ½ capacity how frequently would you use the following facilities each week? - Grocery store","Under sufficient social distancing at ½ capacity how frequently would you use the following facilities each week? - Outdoor marketplace or bazaar (e.g., several stalls or stands in one location)","Under sufficient social distancing at ½ capacity how frequently would you use the following facilities each week? - Indoor mall or department store","Under sufficient social distancing at ½ capacity how frequently would you use the following facilities each week? - Local/corner store, stall or stand","Under sufficient social distancing at ½ capacity how frequently would you use the following facilities each week? - Sit-down restaurant/hotel","Under sufficient social distancing at ½ capacity how frequently would you use the following facilities each week? - Indoor recreation facility (e.g., arcade, internet cafe, bar, movie theater, gym)","Under sufficient social distancing at ½ capacity how frequently would you use the following facilities each week? - Outdoor recreation facility (e.g., park, beach, football fields)","Under normal capacity with disinfecting how frequently would you use the following facilities each week? - Public place of worship (e.g., temple, mosque, church)","Under normal capacity with disinfecting how frequently would you use the following facilities each week? - Grocery store","Under normal capacity with disinfecting how frequently would you use the following facilities each week? - Outdoor marketplace or bazaar (e.g., several stalls or stands in one location)","Under normal capacity with disinfecting how frequently would you use the following facilities each week? - Indoor mall or department store","Under normal capacity with disinfecting how frequently would you use the following facilities each week? - Local/corner store, stall or stand","Under normal capacity with disinfecting how frequently would you use the following facilities each week? - Sit-down restaurant/hotel","Under normal capacity with disinfecting how frequently would you use the following facilities each week? - Indoor recreation facility (e.g., arcade, internet cafe, bar, movie theater, gym)","Under normal capacity with disinfecting how frequently would you use the following facilities each week? - Outdoor recreation facility (e.g., park, beach, football fields)","Under sufficient social distancing at ½ capacity how frequently would you partake in the following activities per month? - Work-related gatherings in an outdoor public space (e.g., selling goods, work-related training, company offsites)","Under sufficient social distancing at ½ capacity how frequently would you partake in the following activities per month? - Work-related gatherings in an indoor public space (e.g., selling goods, work-related training, company offsites)","Under sufficient social distancing at ½ capacity how frequently would you partake in the following activities per month? - Traveling for work via public transportation such as bus or metro","Under sufficient social distancing at ½ capacity how frequently would you partake in the following activities per month? - Traveling for work via taxi, auto, or rickshaw","Under normal capacity with disinfecting how frequently would you partake in the following activities per month? - Work-related gatherings in an outdoor public space (e.g., selling goods, work-related training, company offsites)","Under normal capacity with disinfecting how frequently would you partake in the following activities per month? - Work-related gatherings in an indoor public space (e.g., selling goods, work-related training, company offsites)","Under normal capacity with disinfecting how frequently would you partake in the following activities per month? - Traveling for work via public transportation such as bus or metro","Under normal capacity with disinfecting how frequently would you partake in the following activities per month? - Traveling for work via taxi, auto, or rickshaw","Under sufficient social distancing at ½ capacity how frequently would you partake in the following activities per month? - Family or friend gatherings at home","Under sufficient social distancing at ½ capacity how frequently would you partake in the following activities per month? - Social gatherings in an outdoor public space (e.g., weddings, birthdays)","Under sufficient social distancing at ½ capacity how frequently would you partake in the following activities per month? - Social gatherings in an indoor public space (e.g., weddings, birthdays)","Under sufficient social distancing at ½ capacity how frequently would you partake in the following activities per month? - Traveling via airplane or train","Under sufficient social distancing at ½ capacity how frequently would you partake in the following activities per month? - Traveling for social gatherings via public transportation such as bus or metro","Under sufficient social distancing at ½ capacity how frequently would you partake in the following activities per month? - Traveling for social gatherings via taxi, auto, or rickshaw","Under normal capacity with disinfecting how frequently would you partake in the following activities per month? - Family or friend gatherings at home","Under normal capacity with disinfecting how frequently would you partake in the following activities per month? - Social gatherings in an outdoor public space (e.g., weddings, birthdays)","Under normal capacity with disinfecting how frequently would you partake in the following activities per month? - Social gatherings in an indoor public space (e.g., weddings, birthdays)","Under normal capacity with disinfecting how frequently would you partake in the following activities per month? - Traveling via airplane or train","Under normal capacity with disinfecting how frequently would you partake in the following activities per month? - Traveling for social gatherings via public transportation such as bus or metro","Under normal capacity with disinfecting how frequently would you partake in the following activities per month? - Traveling for social gatherings via taxi, auto, or rickshaw","source","RandomID","Q40 - Parent Topics","Q40 - Topics"
"{""ImportId"":""duration""}","{""ImportId"":""finished""}","{""ImportId"":""recordedDate"",""timeZone"":""America/Denver""}","{""ImportId"":""externalDataReference""}","{""ImportId"":""userLanguage""}","{""ImportId"":""QID5""}","{""ImportId"":""QID6_TEXT""}","{""ImportId"":""QID1""}","{""ImportId"":""QID7""}","{""ImportId"":""QID8""}","{""ImportId"":""QID9""}","{""ImportId"":""QID27""}","{""ImportId"":""QID10_TEXT""}","{""ImportId"":""QID24""}","{""ImportId"":""QID22""}","{""ImportId"":""QID23""}","{""ImportId"":""QID18_1""}","{""ImportId"":""QID18_2""}","{""ImportId"":""QID18_3""}","{""ImportId"":""QID18_4""}","{""ImportId"":""QID18_5""}","{""ImportId"":""QID18_6""}","{""ImportId"":""QID18_7""}","{""ImportId"":""QID18_8""}","{""ImportId"":""QID20_1""}","{""ImportId"":""QID20_2""}","{""ImportId"":""QID20_3""}","{""ImportId"":""QID20_4""}","{""ImportId"":""QID20_5""}","{""ImportId"":""QID20_6""}","{""ImportId"":""QID20_7""}","{""ImportId"":""QID20_8""}","{""ImportId"":""QID21_1""}","{""ImportId"":""QID21_2""}","{""ImportId"":""QID21_3""}","{""ImportId"":""QID21_4""}","{""ImportId"":""QID30_1""}","{""ImportId"":""QID30_2""}","{""ImportId"":""QID30_3""}","{""ImportId"":""QID30_4""}","{""ImportId"":""QID33_1""}","{""ImportId"":""QID33_2""}","{""ImportId"":""QID33_3""}","{""ImportId"":""QID33_4""}","{""ImportId"":""QID33_5""}","{""ImportId"":""QID33_6""}","{""ImportId"":""QID34_1""}","{""ImportId"":""QID34_2""}","{""ImportId"":""QID34_3""}","{""ImportId"":""QID34_4""}","{""ImportId"":""QID34_5""}","{""ImportId"":""QID34_6""}","{""ImportId"":""source""}","{""ImportId"":""RandomID""}","{""ImportId"":""QID40_TEXT_446b0af3832e4ae789b7eadeParTopics""}","{""ImportId"":""QID40_TEXT_446b0af3832e4ae789b7eadeTopics""}"
"246","True","2020-05-30 09:16:34",NA,"EN","Telengana","Hyderabad","4","40-49","Male","0","Yes","Services","No","0","0","0","1","1","0","1","0","1","0","0","1","1","0","1","0","1","0",NA,NA,NA,NA,NA,NA,NA,NA,"1","0","0","1","0","0","0","0","0","0","0","0",NA,"5392",NA,NA
"198","True","2020-05-30 09:43:51",NA,"EN","Maharashtra","Pune","2","40-49","Male","0","Yes","Consultant","No","1-5","0","0","0","0","0","2","0","0","7+","0","1","0","1","2","1","0","7+","0","0","0","0","0","0","0","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"4834",NA,NA
"189","True","2020-05-30 13:00:25",NA,"EN","Maharashtra","Pune","1","40-49","Male","0","Yes","Software professional","Yes","0","0","0","1","1","2","1","0","0","0","0","1","1","0","1","0","0","0",NA,NA,NA,NA,NA,NA,NA,NA,"1","1","1","0","0","0","1","1","1","0","0","0",NA,"8839",NA,NA
"260","True","2020-05-30 13:07:16",NA,"EN","West Benagal","Kolkata","2","40-49","Male","2","Yes","Teaching","Yes","0","0","0","1","1","0","2","0","0","0","1","2","1","1","3","1","1",NA,"1","1","0","2","1","1","0","2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"5938",NA,NA
"251","True","2020-05-30 13:13:34",NA,"EN","West Benagal","Kolkata","5+","40-49","Male","4","Yes","Business","Yes","1-5","0","0",NA,"1","1","1","4","2","4","1","4","4","4","4","3","3","4",NA,NA,NA,NA,NA,NA,NA,NA,"3","2","2","5+","4","5+","5+","4","4","5+","4","5+",NA,"5178",NA,NA
"301","True","2020-05-30 13:25:53",NA,"EN","West Benagal","Kolkata","2","40-49","Male","0","Yes","Banking","No","1-5","0","2","2","1","1","2","1","1","1","1","2","2","1","2","1","1","1","2","2","3","5+","2","2","3","3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"7627",NA,NA
"4048","True","2020-05-31 04:02:57",NA,"EN","Maharashtra","Mumbai","3","40-49","Male","0","Yes","Self Employed Professional","No","1-5","0","0","0","2","0","1","0","0","0","0","1","1","0","1","0","0","0","1","0","0","0","1","0","0","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"9878",NA,NA
"551","True","2020-05-31 07:45:10",NA,"EN","West Benagal","Kolkata","4","40-49","Male","1","Yes","Service","Yes","0","0","0","1","0","0","1","0","0","3","0","1","0","1","0","0","0","3",NA,NA,NA,NA,NA,NA,NA,NA,NA,"0","0","0","0","0","0","0","0","0","0","0",NA,"8611",NA,NA
